,wl,Paint Chip 1 - Unicorn Blue,Paint Chip 2 - Rich Plum,Paint Chip 3 - Nocturnal Sea,Paint Chip 4 - Calypso Ruffel,Paint Chip 5 - Hyacynth,Paint Chip 6 - Sun Valley,Paint Chip 7 - Continental Blue,Paint Chip 8 - Carnival Red,Paint Chip 9 - Bohemian Blue,Paint Chip 10 - Fire Engine Red,Paint Chip 11 Lucky Irish,Paint Chip 12 Roanoke Red,Paint Chip 13 Paris Night,Paint Chip 14 Nectarine,Paint Chip 15 Ecudor,Paint Chip 16 Wild Mint,Paint Chip 17 Primrose,Paint Chip 18 Oakheart,Paint Chip 19 Slate Grey
78,458,0.41303734375,0.248233085938,0.0979316796875,0.243209257812,0.363848359375,0.114861523437,0.411937304688,0.0891520546875,0.188014414063,0.06309265625,0.091345046875,0.057865375,0.128678164062,0.0802193828125,0.0771043476563,0.0678053828125,0.0745797148438,0.0791456953125,0.178365273437
79,459,0.419467597656,0.247082352295,0.0988207910156,0.241870484619,0.361630307617,0.114875093994,0.414483792725,0.0883279509277,0.187446702881,0.0627772478027,0.0925626750488,0.0578467336426,0.128101766357,0.0800321572266,0.0774891412354,0.0684638735352,0.074713446167,0.079258109375,0.178191571045
80,460,0.42609,0.24593,0.099752,0.24043,0.35932,0.11503,0.41677,0.087516,0.18683,0.062484,0.093851,0.057857,0.12752,0.079876,0.077919,0.069161,0.074845,0.079379,0.17804
81,461,0.432888449707,0.244773100586,0.100722972778,0.238881765137,0.356908012695,0.115330028076,0.418804016113,0.0867111539307,0.186170423584,0.0622110096436,0.0952171584473,0.0578974038086,0.12693213501,0.0797534602051,0.0783921977539,0.069899019165,0.0749803797607,0.0795096246338,0.17791477417
82,462,0.439839921875,0.2436084375,0.101729386719,0.237224765625,0.354388046875,0.115772851563,0.420594921875,0.0859090976562,0.185474101562,0.0619546757812,0.096668828125,0.0579675390625,0.126336523438,0.079666171875,0.078906203125,0.0706806835938,0.0751290898437,0.0796502617187,0.177817773437
83,463,0.446854118652,0.242404047852,0.102746763062,0.235458674316,0.351758227539,0.116287593994,0.422147849121,0.0851002489014,0.184743135986,0.0617241607666,0.0982189685059,0.0580431401367,0.125712508545,0.0796382097168,0.0794056870117,0.0715032459717,0.0753722174072,0.0797775252686,0.177739869385
84,464,0.45384,0.24113,0.10375,0.23359,0.34902,0.1168,0.42347,0.084276,0.18398,0.061525,0.099881,0.0581,0.12504,0.07969,0.079839,0.072365,0.075789,0.079869,0.17767
85,465,0.460768608398,0.239783724365,0.104735522461,0.231613304443,0.346168491211,0.117317371826,0.424556226807,0.0834346705322,0.183188172607,0.061362168457,0.101665465576,0.0581381383057,0.124316859131,0.0798262330322,0.0802113283691,0.0732689743652,0.0763916026611,0.0799256556396,0.177608820801
86,466,0.46761578125,0.238366054688,0.105700953125,0.229527460938,0.343200859375,0.117849804688,0.425400976562,0.0825757460938,0.182371210938,0.06123846875,0.103583546875,0.0581593710938,0.123542617188,0.0800476523438,0.0805354453125,0.0742192890625,0.0771864179688,0.0799509960938,0.17755625
87,467,0.474332973633,0.236922813721,0.10664297168,0.227398253174,0.340148022461,0.118452213135,0.426079676514,0.081717774292,0.181554088135,0.0610796791992,0.105619352783,0.0581804080811,0.122736983643,0.0803091141357,0.0808552429199,0.0752365070801,0.078091168335,0.0799661954346,0.177505554199
