,wl,Standard brown cardboard,Red file folder
380,760,0.50739,0.80864
381,761,0.50832005127,0.808716700439
382,762,0.509167421875,0.808606914062
383,763,0.509960251465,0.808442835693
384,764,0.51073,0.80836
385,765,0.511476179199,0.808358879395
386,766,0.512198359375,0.80843265625
387,767,0.512922053223,0.808534265137
388,768,0.51367,0.80861
389,769,0.514444680176,0.808664117432
390,770,0.515244921875,0.808700273438
391,771,0.516032966309,0.808670057373
392,772,0.51677,0.80853
393,773,0.517455731861,0.808278872876
394,774,0.518092117225,0.807922503364
395,775,0.518676574508,0.807529178905
396,776,0.51921,0.80717
397,777,0.519699930169,0.80686069517
398,778,0.520157766896,0.806615817509
399,779,0.520590561477,0.806405105658
400,780,0.52101,0.8062
