,wl,The new S language,Combinatorial ALgorithms,Compilers (dragon),Compilers (blue book),Computer Organization (red book),Topology (green book),Data and Computer Communications (yellow book)
182,562,0.137070195312,0.0287266171875,0.126335898438,0.356104257812,0.0332471523437,0.198368007813,0.586940117187
183,563,0.132646480713,0.0275175063477,0.125207362061,0.352318040771,0.0327283807373,0.194276715088,0.586727454834
184,564,0.12834,0.026426,0.12419,0.34853,0.032274,0.19015,0.58661
185,565,0.124158332642,0.0254457786865,0.123317371826,0.34474519043,0.0319031364746,0.185987495117,0.586621157227
186,566,0.120111566406,0.0245703164063,0.122627460938,0.340974453125,0.0316386328125,0.1817959375,0.586795625
187,567,0.116302753784,0.0238026983643,0.122188326416,0.337342241211,0.0315160910645,0.177696762695,0.587190014648
188,568,0.11283,0.023145,0.12207,0.33397,0.031574,0.17381,0.58786
189,569,0.109698290649,0.022590597168,0.122325002441,0.330867576904,0.0318520803223,0.17014201416,0.588842576904
190,570,0.106901902344,0.0221315625,0.123006875,0.328034414062,0.0323935390625,0.166689921875,0.590172460937
191,571,0.104340767456,0.0217384106445,0.124131794434,0.325375240479,0.033199619873,0.163366491699,0.591876636963
192,572,0.10191,0.021382,0.12572,0.32279,0.034279,0.16008,0.59398
193,573,0.0996009580078,0.0210548167725,0.127837810059,0.320276722412,0.035696951416,0.156828630371,0.596508104248
194,574,0.097408078125,0.0207512304687,0.13055875,0.317836523438,0.0375300859375,0.153613359375,0.599484101563
195,575,0.0953445751953,0.0204784620361,0.133978674316,0.315499952393,0.0398699733887,0.150458273926,0.602961861572
196,576,0.093427,0.020245,0.1382,0.3133,0.04282,0.14739,0.60699
197,577,0.0916407978516,0.0200461584473,0.143312907715,0.311228232422,0.0464936390381,0.144400734863,0.611580343018
198,578,0.089971703125,0.01987740625,0.14941296875,0.309275078125,0.0510169023437,0.141482109375,0.616737382813
199,579,0.0884224384766,0.0197311501465,0.156579807129,0.307432402344,0.0564749190674,0.138632888184,0.622429564209
200,580,0.086994,0.0196,0.1649,0.30569,0.06297,0.13585,0.62862
201,581,0.0856788157959,0.0194816765137,0.17438881958,0.304043684082,0.0705588199463,0.133136104736,0.635266583252
202,582,0.0844676367188,0.0193744375,0.185052460938,0.30248828125,0.0792988554687,0.130493632812,0.642318554687
203,583,0.0833122716064,0.0192809094238,0.197490628662,0.300990866699,0.0899498494873,0.12786302124,0.649922923584
204,584,0.082166,0.019204,0.21224,0.29952,0.10321,0.12519,0.6582
205,585,0.0810183948975,0.0191423334961,0.22927440918,0.298067745361,0.119099742432,0.122473578857,0.667095209961
206,586,0.0798626757813,0.0190944765625,0.24847796875,0.296628867187,0.137541289063,0.119720226563,0.6765225
207,587,0.0787349239502,0.0190571245117,0.268801040039,0.295235550537,0.157551590576,0.117049511963,0.685919790039
208,588,0.077672,0.019027,0.28917,0.29392,0.17811,0.11458,0.69473
209,589,0.0766693012695,0.0190032991943,0.30942690918,0.292679396973,0.199082647705,0.112319274902,0.702869105225
210,590,0.075720109375,0.0189854257813,0.32946078125,0.291508671875,0.220368554688,0.110266171875,0.710292304688
211,591,0.0747838686523,0.0189740509033,0.349507797852,0.290366062012,0.242151234131,0.108341090332,0.717212432861
212,592,0.07382,0.01897,0.36984,0.28921,0.26464,0.10646,0.72387
